song,write,vocals
Rhiannon,true,true
Crystal,true,false
Landslide,true,true
Dreams,true,true
The Chain,true,true
I Don't Want to Know,true,true
Gold Dust Woman,true,true
Silver Springs,true,true
Sara,true,true
Storms,true,true
Sisters of the Moon,true,true
Angel,true,true
Beautiful Child,true,true
That's Alright,true,true
Gypsy,true,true
Straight Back,true,true
Seven Wonders,true,true
Welcome to the Room... Sara,true,true
When I See You Again,true,true
Love is Dangerous,true,true
In the Back of My Mind,false,true
Affairs of the Heart,true,true
Freedom,true,true
The Second Time,true,true
Illume (9-11),true,true
Thrown Down,true,true
Say You Will,true,true
Smile at You,true,true
Running Through the Garden,true,true
Silver Girl,true,true
Everybody Finds Out,true,true
Destiny Rules,true,true
Goodbye Baby,true,true
